cycle_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
136,2610,2601,,,,,,,,,,,,,
137,2691,2709,2727,2745,2763,2781,2799,2826,2808,2790,2772,2754,2736,2718,2700
138,2700,2691,2709,2727,2745,2763,2781,2799,2826,2808,2790,2772,2754,2736,2718
139,2709,2727,2745,2763,2781,2799,2826,2808,2790,2772,2754,2736,2718,2700,2691
140,2718,2700,2691,2709,2727,2745,2763,2781,2799,2826,2808,2790,2772,2754,2736
141,2727,2745,2763,2781,2799,2826,2808,2790,2772,2754,2736,2718,2700,2691,2709
142,2736,2718,2700,2691,2709,2727,2745,2763,2781,2799,2826,2808,2790,2772,2754
143,2745,2763,2781,2799,2826,2808,2790,2772,2754,2736,2718,2700,2691,2709,2727
144,2754,2736,2718,2700,2691,2709,2727,2745,2763,2781,2799,2826,2808,2790,2772
145,2763,2781,2799,2826,2808,2790,2772,2754,2736,2718,2700,2691,2709,2727,2745
146,2772,2754,2736,2718,2700,2691,2709,2727,2745,2763,2781,2799,2826,2808,2790
147,2781,2799,2826,2808,2790,2772,2754,2736,2718,2700,2691,2709,2727,2745,2763
148,2790,2772,2754,2736,2718,2700,2691,2709,2727,2745,2763,2781,2799,2826,2808
149,2799,2826,2808,2790,2772,2754,2736,2718,2700,2691,2709,2727,2745,2763,2781
150,2808,2790,2772,2754,2736,2718,2700,2691,2709,2727,2745,2763,2781,2799,2826
151,2871,2889,2916,2898,,,,,,,,,,,
152,2826,2808,2790,2772,2754,2736,2718,2700,2691,2709,2727,2745,2763,2781,2799
153,2889,2916,2898,2871,,,,,,,,,,,
154,2898,2871,2889,2916,,,,,,,,,,,
155,3024,3015,,,,,,,,,,,,,
156,2916,2898,2871,2889,,,,,,,,,,,
157,3015,3024,,,,,,,,,,,,,
158,3033,3042,,,,,,,,,,,,,
159,3042,3033,,,,,,,,,,,,,
160,3051,3060,,,,,,,,,,,,,
161,3060,3051,,,,,,,,,,,,,
162,3105,3114,,,,,,,,,,,,,
163,3114,3105,,,,,,,,,,,,,
164,3123,3132,,,,,,,,,,,,,
165,3132,3123,,,,,,,,,,,,,
166,3141,3150,,,,,,,,,,,,,
167,3150,3141,,,,,,,,,,,,,
168,3213,3222,,,,,,,,,,,,,
169,3222,3213,,,,,,,,,,,,,
170,3231,3240,,,,,,,,,,,,,
171,3240,3231,,,,,,,,,,,,,
172,3303,3312,,,,,,,,,,,,,
173,3312,3303,,,,,,,,,,,,,
174,3321,3330,,,,,,,,,,,,,
175,3330,3321,,,,,,,,,,,,,
176,3411,3420,,,,,,,,,,,,,
177,3420,3411,,,,,,,,,,,,,
178,3501,3510,,,,,,,,,,,,,
179,3510,3501,,,,,,,,,,,,,
180,3591,3609,3627,3645,3663,3681,3699,3726,3708,3690,3672,3654,3636,3618,3600
181,3600,3591,3609,3627,3645,3663,3681,3699,3726,3708,3690,3672,3654,3636,3618
182,3609,3627,3645,3663,3681,3699,3726,3708,3690,3672,3654,3636,3618,3600,3591
183,3618,3600,3591,3609,3627,3645,3663,3681,3699,3726,3708,3690,3672,3654,3636
184,3627,3645,3663,3681,3699,3726,3708,3690,3672,3654,3636,3618,3600,3591,3609
185,3636,3618,3600,3591,3609,3627,3645,3663,3681,3699,3726,3708,3690,3672,3654
186,3645,3663,3681,3699,3726,3708,3690,3672,3654,3636,3618,3600,3591,3609,3627
187,3654,3636,3618,3600,3591,3609,3627,3645,3663,3681,3699,3726,3708,3690,3672
188,3663,3681,3699,3726,3708,3690,3672,3654,3636,3618,3600,3591,3609,3627,3645
189,3672,3654,3636,3618,3600,3591,3609,3627,3645,3663,3681,3699,3726,3708,3690
190,3681,3699,3726,3708,3690,3672,3654,3636,3618,3600,3591,3609,3627,3645,3663
191,3690,3672,3654,3636,3618,3600,3591,3609,3627,3645,3663,3681,3699,3726,3708
192,3699,3726,3708,3690,3672,3654,3636,3618,3600,3591,3609,3627,3645,3663,3681
193,3708,3690,3672,3654,3636,3618,3600,3591,3609,3627,3645,3663,3681,3699,3726
194,3771,3789,3816,3798,,,,,,,,,,,
195,3726,3708,3690,3672,3654,3636,3618,3600,3591,3609,3627,3645,3663,3681,3699
196,3789,3816,3798,3771,,,,,,,,,,,
197,3798,3771,3789,3816,,,,,,,,,,,
198,3861,3879,3906,3888,,,,,,,,,,,
199,3816,3798,3771,3789,,,,,,,,,,,
200,3879,3906,3888,3861,,,,,,,,,,,
201,3888,3861,3879,3906,,,,,,,,,,,
202,3906,3888,3861,3879,,,,,,,,,,,
203,3969,3996,,,,,,,,,,,,,
204,4014,4005,,,,,,,,,,,,,
205,3996,3969,,,,,,,,,,,,,
206,4005,4014,,,,,,,,,,,,,
